Name,Description,Province,Town,Address,CoordenatesX,CoordenatesY,Latitude,Longitude,quality-uri
MUNDAKA,,Bizkaia,Mundaka,Camino-Goitiz-s-n-Depósito-de-Agua,524035.1288,4805932.4502,43.40588884294258,-2.7031593675211343,http://opendata.eurohelp.es/station/MUNDAKA
MUNOA,,Bizkaia,Barakaldo,C-Llano-55-CEP-Munoa-Bº-Lutxana,501728.39,4792529.8721,43.28558799716144,-2.978696000976749,http://opendata.eurohelp.es/station/MUNOA
MUSKIZ,,Bizkaia,Muskiz,C-Giba-Fregenal-s-n-Estación-de-Renfe,490860.6099,4796436.6121,43.32071311956527,-3.1127162723783197,http://opendata.eurohelp.es/station/MUSKIZ
Mª DIAZ HARO,,Bizkaia,Bilbao,C-Mª-Díaz-de-Haro-60,504410.8,4789556.5,43.25880286639215,-2.945656664175787,http://opendata.eurohelp.es/station/Mª-DIAZ-HARO
NAUTICA,,Bizkaia,Portugalete,C-Mª-Díaz-de-Haro-68-Esc-Náutica,498108.2533,4797122.7258,43.32694444265417,-3.023333333735672,http://opendata.eurohelp.es/station/NAUTICA
PAGOETA,,Gipuzkoa,Aia,Jardín-Botánico-de-Iturraran-Parque-Natural-de-Pagoeta,568603.2817,4788991.3758,43.25060521979407,-2.1548873966664503,http://opendata.eurohelp.es/station/PAGOETA
PUYO,,Gipuzkoa,Donostia / San Sebastián,Camino-de-Puyo-14,582404.0515,4794939.6966,43.302777170621106,-1.9840112864449164,http://opendata.eurohelp.es/station/PUYO
SAN JULIAN,,Bizkaia,Muskiz,Camino-a-Valles-s-n-Bº-San-Julian,490839.8223,4797762.3066,43.33265015831669,-3.112994770178107,http://opendata.eurohelp.es/station/SAN-JULIAN
SANGRONIZ,,Bizkaia,Sondika,C-Iturrikosolo-s-n,505646.6,4793957.2,43.29842135635236,-2.93038581833024,http://opendata.eurohelp.es/station/SANGRONIZ
SANTURCE,,Bizkaia,Santurtzi,C-Vista-Alegre-29,496549.7975,4797797.1715,43.33301199742545,-3.042560000349237,http://opendata.eurohelp.es/station/SANTURCE
SERANTES,,Bizkaia,Santurtzi,Camino-Serantes-igoera-s-n,494893.6762,4797956.4394,43.3344367083824,-3.0629905698856272,http://opendata.eurohelp.es/station/SERANTES
SESTAO,,Bizkaia,Sestao,Parque-Portopin,500328.4875,4794988.1863,43.307726099387494,-2.9959496198447484,http://opendata.eurohelp.es/station/SESTAO
TOLOSA,,Gipuzkoa,Tolosa,Avda-Martin-Jose-Iraola-23,574991.16,4775750.46,43.13078067861342,-2.078002156707588,http://opendata.eurohelp.es/station/TOLOSA
URKIOLA,,Bizkaia,Abadiño,Urkiola-auzoa-8,528410.62,4772028,43.100442429429606,-2.6508700717196243,http://opendata.eurohelp.es/station/URKIOLA
VALDEREJO,,Araba,Valdegovía/Gaubea,Ctro-de-Interpretación-Parque-Natural-de-Valderejo,481073.6693,4746978.5075,42.87516709375477,-3.231732505322038,http://opendata.eurohelp.es/station/VALDEREJO
ZALLA,,Bizkaia,Zalla,Avda-Kosme-Bibanko-Etxebarria-2,489078.1917,4784461.4469,43.2128572411877,-3.134461258966499,http://opendata.eurohelp.es/station/ZALLA
ZELAIETA PARQUE,,Bizkaia,Amorebieta-Etxano,Parque-Zelaieta,521563.7353,4785158.5803,43.21890568490462,-2.7344969803118295,http://opendata.eurohelp.es/station/ZELAIETA-PARQUE
ZIERBENA (Puerto),,Bizkaia,Zierbena,Puerto-de-Zierbena-s-n-Bº-El-Puerto,493436.7,4800025.4,43.35305543364201,-3.080988277376953,http://opendata.eurohelp.es/station/ZIERBENA-Puerto
ZUMARRAGA,,Gipuzkoa,Zumarraga,Grupo-Izazpi-3-6,555656.194,4770489.269,43.08507598449891,-2.316228856182885,http://opendata.eurohelp.es/station/ZUMARRAGA
